Node,Depth,Value,Alpha,Beta
A3,3,29,53,59
E1,2,29,53,59
B3,3,49,53,59
E1,2,49,53,59
C3,3,32,53,59
E1,2,49,53,59
E3,3,4,53,59
E1,2,49,53,59
A4,3,21,53,59
E1,2,49,53,59
B4,3,13,53,59
E1,2,49,53,59
E4,3,3,53,59
E1,2,49,53,59
A5,3,26,53,59
E1,2,49,53,59
B5,3,31,53,59
E1,2,49,53,59
C5,3,24,53,59
E1,2,49,53,59
D5,3,22,53,59
E1,2,49,53,59
E5,3,11,53,59
E1,2,49,53,59
B1,1,49,53,59
root,0,53,53,Infinity
E1,1,Infinity,53,Infinity
A1,2,-Infinity,53,Infinity
B1,3,81,53,Infinity
A1,2,81,81,Infinity
A2,3,45,81,Infinity
A1,2,81,81,Infinity
B2,3,37,81,Infinity
A1,2,81,81,Infinity
A3,3,53,81,Infinity
A1,2,81,81,Infinity
B3,3,73,81,Infinity
A1,2,81,81,Infinity
C3,3,56,81,Infinity
A1,2,81,81,Infinity
E3,3,28,81,Infinity
A1,2,81,81,Infinity
A4,3,45,81,Infinity
A1,2,81,81,Infinity
B4,3,37,81,Infinity
A1,2,81,81,Infinity
E4,3,27,81,Infinity
A1,2,81,81,Infinity
A5,3,50,81,Infinity
A1,2,81,81,Infinity
B5,3,55,81,Infinity
A1,2,81,81,Infinity
C5,3,48,81,Infinity
A1,2,81,81,Infinity
D5,3,46,81,Infinity
A1,2,81,81,Infinity
E5,3,35,81,Infinity
A1,2,81,81,Infinity
E1,1,81,53,81
B1,2,-Infinity,53,81
A1,3,49,53,81
B1,2,49,53,81
A2,3,49,53,81
B1,2,49,53,81
B2,3,73,53,81
B1,2,73,73,81
A3,3,57,73,81
B1,2,73,73,81
B3,3,77,73,81
B1,2,77,77,81
C3,3,60,77,81
B1,2,77,77,81
E3,3,32,77,81
B1,2,77,77,81
A4,3,49,77,81
B1,2,77,77,81
B4,3,41,77,81
B1,2,77,77,81
E4,3,31,77,81
B1,2,77,77,81
A5,3,54,77,81
B1,2,77,77,81
B5,3,59,77,81
B1,2,77,77,81
C5,3,52,77,81
B1,2,77,77,81
D5,3,50,77,81
B1,2,77,77,81
E5,3,39,77,81
B1,2,77,77,81
E1,1,77,53,77
A2,2,-Infinity,53,77
A1,3,45,53,77
A2,2,45,53,77
B1,3,41,53,77
A2,2,45,53,77
B2,3,77,53,77
A2,2,77,53,77
E1,1,77,53,77
B2,2,-Infinity,53,77
A1,3,53,53,77
B2,2,53,53,77
B1,3,73,53,77
B2,2,73,73,77
A2,3,53,73,77
B2,2,73,73,77
A3,3,61,73,77
B2,2,73,73,77
B3,3,81,73,77
B2,2,81,73,77
E1,1,77,53,77
A3,2,-Infinity,53,77
A1,3,37,53,77
A3,2,37,53,77
B1,3,33,53,77
A3,2,37,53,77
A2,3,37,53,77
A3,2,37,53,77
B2,3,29,53,77
A3,2,37,53,77
B3,3,65,53,77
A3,2,65,65,77
C3,3,48,65,77
A3,2,65,65,77
E3,3,20,65,77
A3,2,65,65,77
A4,3,37,65,77
