Node,Depth,Value,Alpha,Beta
E1,3,53,63,64
C5,2,53,63,64
A2,3,43,63,64
C5,2,53,63,64
B2,3,35,63,64
C5,2,53,63,64
A3,3,51,63,64
C5,2,53,63,64
B3,3,71,63,64
C5,2,71,63,64
C3,1,64,63,64
D5,2,-Infinity,63,64
A1,3,45,63,64
D5,2,45,63,64
B1,3,41,63,64
D5,2,45,63,64
E1,3,55,63,64
D5,2,55,63,64
A2,3,45,63,64
D5,2,55,63,64
B2,3,37,63,64
D5,2,55,63,64
A3,3,53,63,64
D5,2,55,63,64
B3,3,73,63,64
D5,2,73,63,64
C3,1,64,63,64
E5,2,-Infinity,63,64
A1,3,56,63,64
E5,2,56,63,64
B1,3,52,63,64
E5,2,56,63,64
E1,3,66,63,64
E5,2,66,63,64
C3,1,64,63,64
root,0,64,64,Infinity
E3,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,54,64,Infinity
A1,2,54,64,Infinity
E1,3,28,64,Infinity
A1,2,54,64,Infinity
A2,3,18,64,Infinity
A1,2,54,64,Infinity
B2,3,10,64,Infinity
A1,2,54,64,Infinity
A3,3,26,64,Infinity
A1,2,54,64,Infinity
B3,3,46,64,Infinity
A1,2,54,64,Infinity
C3,3,27,64,Infinity
A1,2,54,64,Infinity
A4,3,18,64,Infinity
A1,2,54,64,Infinity
B4,3,10,64,Infinity
A1,2,54,64,Infinity
E4,3,12,64,Infinity
A1,2,54,64,Infinity
A5,3,23,64,Infinity
A1,2,54,64,Infinity
B5,3,28,64,Infinity
A1,2,54,64,Infinity
C5,3,21,64,Infinity
A1,2,54,64,Infinity
D5,3,19,64,Infinity
A1,2,54,64,Infinity
E5,3,8,64,Infinity
A1,2,54,64,Infinity
E3,1,54,64,Infinity
root,0,64,64,Infinity
A4,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,71,64,Infinity
A1,2,71,71,Infinity
E1,3,45,71,Infinity
A1,2,71,71,Infinity
A2,3,35,71,Infinity
A1,2,71,71,Infinity
B2,3,27,71,Infinity
A1,2,71,71,Infinity
A3,3,43,71,Infinity
A1,2,71,71,Infinity
B3,3,63,71,Infinity
A1,2,71,71,Infinity
C3,3,46,71,Infinity
A1,2,71,71,Infinity
E3,3,18,71,Infinity
A1,2,71,71,Infinity
B4,3,47,71,Infinity
A1,2,71,71,Infinity
E4,3,17,71,Infinity
A1,2,71,71,Infinity
A5,3,40,71,Infinity
A1,2,71,71,Infinity
B5,3,45,71,Infinity
A1,2,71,71,Infinity
C5,3,38,71,Infinity
A1,2,71,71,Infinity
D5,3,36,71,Infinity
A1,2,71,71,Infinity
E5,3,25,71,Infinity
A1,2,71,71,Infinity
A4,1,71,64,71
B1,2,-Infinity,64,71
A1,3,39,64,71
B1,2,39,64,71
E1,3,49,64,71
B1,2,49,64,71
A2,3,39,64,71
B1,2,49,64,71
B2,3,63,64,71
B1,2,63,64,71
A3,3,47,64,71
B1,2,63,64,71
B3,3,67,64,71
B1,2,67,67,71
C3,3,50,67,71
B1,2,67,67,71
E3,3,22,67,71
B1,2,67,67,71
B4,3,51,67,71
B1,2,67,67,71
E4,3,21,67,71
B1,2,67,67,71
A5,3,44,67,71
B1,2,67,67,71
B5,3,49,67,71
B1,2,67,67,71
C5,3,42,67,71
B1,2,67,67,71
D5,3,40,67,71
B1,2,67,67,71
E5,3,29,67,71
B1,2,67,67,71
A4,1,67,64,67
E1,2,-Infinity,64,67
A1,3,25,64,67
E1,2,25,64,67
B1,3,21,64,67
E1,2,25,64,67
A2,3,25,64,67
E1,2,25,64,67
B2,3,17,64,67
E1,2,25,64,67
A3,3,33,64,67
E1,2,33,64,67
B3,3,53,64,67
E1,2,53,64,67
C3,3,36,64,67
E1,2,53,64,67
E3,3,8,64,67
E1,2,53,64,67
B4,3,37,64,67
E1,2,53,64,67
E4,3,7,64,67
E1,2,53,64,67
A5,3,30,64,67
E1,2,53,64,67
B5,3,35,64,67
E1,2,53,64,67
C5,3,28,64,67
E1,2,53,64,67
D5,3,26,64,67
E1,2,53,64,67
E5,3,15,64,67
E1,2,53,64,67
A4,1,53,64,67
root,0,64,64,Infinity
B4,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,63,64,Infinity
A1,2,63,64,Infinity
E1,3,37,64,Infinity
A1,2,63,64,Infinity
A2,3,27,64,Infinity
A1,2,63,64,Infinity
B2,3,19,64,Infinity
A1,2,63,64,Infinity
A3,3,35,64,Infinity
A1,2,63,64,Infinity
B3,3,55,64,Infinity
A1,2,63,64,Infinity
C3,3,38,64,Infinity
A1,2,63,64,Infinity
E3,3,10,64,Infinity
A1,2,63,64,Infinity
A4,3,27,64,Infinity
A1,2,63,64,Infinity
E4,3,9,64,Infinity
A1,2,63,64,Infinity
A5,3,32,64,Infinity
A1,2,63,64,Infinity
B5,3,37,64,Infinity
A1,2,63,64,Infinity
C5,3,30,64,Infinity
A1,2,63,64,Infinity
D5,3,28,64,Infinity
A1,2,63,64,Infinity
E5,3,17,64,Infinity
A1,2,63,64,Infinity
B4,1,63,64,Infinity
root,0,64,64,Infinity
E4,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,53,64,Infinity
A1,2,53,64,Infinity
E1,3,27,64,Infinity
A1,2,53,64,Infinity
A2,3,17,64,Infinity
A1,2,53,64,Infinity
B2,3,9,64,Infinity
A1,2,53,64,Infinity
A3,3,25,64,Infinity
A1,2,53,64,Infinity
B3,3,45,64,Infinity
A1,2,53,64,Infinity
C3,3,28,64,Infinity
A1,2,53,64,Infinity
E3,3,0,64,Infinity
A1,2,53,64,Infinity
A4,3,17,64,Infinity
A1,2,53,64,Infinity
B4,3,9,64,Infinity
A1,2,53,64,Infinity
A5,3,22,64,Infinity
A1,2,53,64,Infinity
B5,3,27,64,Infinity
A1,2,53,64,Infinity
C5,3,20,64,Infinity
A1,2,53,64,Infinity
D5,3,18,64,Infinity
A1,2,53,64,Infinity
E5,3,7,64,Infinity
A1,2,53,64,Infinity
E4,1,53,64,Infinity
root,0,64,64,Infinity
A5,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,76,64,Infinity
A1,2,76,76,Infinity
E1,3,50,76,Infinity
A1,2,76,76,Infinity
A2,3,40,76,Infinity
A1,2,76,76,Infinity
B2,3,32,76,Infinity
A1,2,76,76,Infinity
A3,3,48,76,Infinity
A1,2,76,76,Infinity
B3,3,68,76,Infinity
A1,2,76,76,Infinity
C3,3,51,76,Infinity
A1,2,76,76,Infinity
E3,3,23,76,Infinity
A1,2,76,76,Infinity
A4,3,40,76,Infinity
A1,2,76,76,Infinity
B4,3,32,76,Infinity
A1,2,76,76,Infinity
E4,3,22,76,Infinity
A1,2,76,76,Infinity
B5,3,50,76,Infinity
A1,2,76,76,Infinity
C5,3,43,76,Infinity
A1,2,76,76,Infinity
D5,3,41,76,Infinity
A1,2,76,76,Infinity
E5,3,30,76,Infinity
A1,2,76,76,Infinity
A5,1,76,64,76
B1,2,-Infinity,64,76
A1,3,44,64,76
B1,2,44,64,76
E1,3,54,64,76
B1,2,54,64,76
A2,3,44,64,76
B1,2,54,64,76
B2,3,68,64,76
B1,2,68,68,76
A3,3,52,68,76
B1,2,68,68,76
B3,3,72,68,76
B1,2,72,72,76
C3,3,55,72,76
B1,2,72,72,76
E3,3,27,72,76
B1,2,72,72,76
A4,3,44,72,76
B1,2,72,72,76
B4,3,36,72,76
B1,2,72,72,76
E4,3,26,72,76
B1,2,72,72,76
B5,3,54,72,76
B1,2,72,72,76
C5,3,47,72,76
B1,2,72,72,76
D5,3,45,72,76
B1,2,72,72,76
E5,3,34,72,76
B1,2,72,72,76
A5,1,72,64,72
E1,2,-Infinity,64,72
A1,3,30,64,72
E1,2,30,64,72
B1,3,26,64,72
E1,2,30,64,72
A2,3,30,64,72
E1,2,30,64,72
B2,3,22,64,72
E1,2,30,64,72
A3,3,38,64,72
E1,2,38,64,72
B3,3,58,64,72
E1,2,58,64,72
C3,3,41,64,72
E1,2,58,64,72
E3,3,13,64,72
E1,2,58,64,72
A4,3,30,64,72
E1,2,58,64,72
B4,3,22,64,72
E1,2,58,64,72
E4,3,12,64,72
E1,2,58,64,72
B5,3,40,64,72
E1,2,58,64,72
C5,3,33,64,72
E1,2,58,64,72
D5,3,31,64,72
E1,2,58,64,72
E5,3,20,64,72
E1,2,58,64,72
A5,1,58,64,72
root,0,64,64,Infinity
B5,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,81,64,Infinity
A1,2,81,81,Infinity
E1,3,55,81,Infinity
A1,2,81,81,Infinity
A2,3,45,81,Infinity
A1,2,81,81,Infinity
B2,3,37,81,Infinity
A1,2,81,81,Infinity
A3,3,53,81,Infinity
A1,2,81,81,Infinity
B3,3,73,81,Infinity
A1,2,81,81,Infinity
C3,3,56,81,Infinity
A1,2,81,81,Infinity
E3,3,28,81,Infinity
A1,2,81,81,Infinity
A4,3,45,81,Infinity
A1,2,81,81,Infinity
B4,3,57,81,Infinity
A1,2,81,81,Infinity
E4,3,27,81,Infinity
A1,2,81,81,Infinity
A5,3,50,81,Infinity
A1,2,81,81,Infinity
C5,3,68,81,Infinity
A1,2,81,81,Infinity
D5,3,46,81,Infinity
A1,2,81,81,Infinity
E5,3,35,81,Infinity
A1,2,81,81,Infinity
B5,1,81,64,81
B1,2,-Infinity,64,81
A1,3,49,64,81
B1,2,49,64,81
E1,3,59,64,81
B1,2,59,64,81
A2,3,49,64,81
B1,2,59,64,81
B2,3,73,64,81
B1,2,73,73,81
A3,3,57,73,81
B1,2,73,73,81
B3,3,77,73,81
B1,2,77,77,81
C3,3,60,77,81
B1,2,77,77,81
E3,3,32,77,81
B1,2,77,77,81
A4,3,49,77,81
B1,2,77,77,81
B4,3,61,77,81
B1,2,77,77,81
E4,3,31,77,81
B1,2,77,77,81
A5,3,54,77,81
B1,2,77,77,81
C5,3,72,77,81
B1,2,77,77,81
D5,3,50,77,81
B1,2,77,77,81
E5,3,39,77,81
B1,2,77,77,81
B5,1,77,64,77
E1,2,-Infinity,64,77
A1,3,35,64,77
E1,2,35,64,77
B1,3,31,64,77
E1,2,35,64,77
A2,3,35,64,77
E1,2,35,64,77
B2,3,27,64,77
E1,2,35,64,77
A3,3,43,64,77
E1,2,43,64,77
B3,3,63,64,77
E1,2,63,64,77
C3,3,46,64,77
E1,2,63,64,77
E3,3,18,64,77
E1,2,63,64,77
A4,3,35,64,77
E1,2,63,64,77
B4,3,47,64,77
E1,2,63,64,77
E4,3,17,64,77
E1,2,63,64,77
A5,3,40,64,77
E1,2,63,64,77
C5,3,58,64,77
E1,2,63,64,77
D5,3,36,64,77
E1,2,63,64,77
E5,3,25,64,77
E1,2,63,64,77
B5,1,63,64,77
root,0,64,64,Infinity
C5,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,74,64,Infinity
A1,2,74,74,Infinity
E1,3,48,74,Infinity
A1,2,74,74,Infinity
A2,3,38,74,Infinity
A1,2,74,74,Infinity
B2,3,30,74,Infinity
A1,2,74,74,Infinity
A3,3,46,74,Infinity
A1,2,74,74,Infinity
B3,3,66,74,Infinity
A1,2,74,74,Infinity
C3,3,49,74,Infinity
A1,2,74,74,Infinity
E3,3,21,74,Infinity
A1,2,74,74,Infinity
A4,3,38,74,Infinity
A1,2,74,74,Infinity
B4,3,30,74,Infinity
A1,2,74,74,Infinity
E4,3,20,74,Infinity
A1,2,74,74,Infinity
A5,3,43,74,Infinity
A1,2,74,74,Infinity
B5,3,48,74,Infinity
A1,2,74,74,Infinity
D5,3,51,74,Infinity
A1,2,74,74,Infinity
E5,3,28,74,Infinity
A1,2,74,74,Infinity
C5,1,74,64,74
B1,2,-Infinity,64,74
A1,3,42,64,74
B1,2,42,64,74
E1,3,52,64,74
B1,2,52,64,74
A2,3,42,64,74
B1,2,52,64,74
B2,3,66,64,74
B1,2,66,66,74
A3,3,50,66,74
B1,2,66,66,74
B3,3,70,66,74
B1,2,70,70,74
C3,3,53,70,74
B1,2,70,70,74
E3,3,25,70,74
B1,2,70,70,74
A4,3,42,70,74
B1,2,70,70,74
B4,3,34,70,74
B1,2,70,70,74
E4,3,24,70,74
B1,2,70,70,74
A5,3,47,70,74
B1,2,70,70,74
B5,3,52,70,74
B1,2,70,70,74
D5,3,55,70,74
B1,2,70,70,74
E5,3,32,70,74
B1,2,70,70,74
C5,1,70,64,70
E1,2,-Infinity,64,70
A1,3,28,64,70
E1,2,28,64,70
B1,3,24,64,70
E1,2,28,64,70
A2,3,28,64,70
E1,2,28,64,70
B2,3,20,64,70
E1,2,28,64,70
A3,3,36,64,70
E1,2,36,64,70
B3,3,56,64,70
E1,2,56,64,70
C3,3,39,64,70
E1,2,56,64,70
E3,3,11,64,70
E1,2,56,64,70
A4,3,28,64,70
E1,2,56,64,70
B4,3,20,64,70
E1,2,56,64,70
E4,3,10,64,70
E1,2,56,64,70
A5,3,33,64,70
E1,2,56,64,70
B5,3,38,64,70
E1,2,56,64,70
D5,3,41,64,70
E1,2,56,64,70
E5,3,18,64,70
E1,2,56,64,70
C5,1,56,64,70
root,0,64,64,Infinity
D5,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,72,64,Infinity
A1,2,72,72,Infinity
E1,3,46,72,Infinity
A1,2,72,72,Infinity
A2,3,36,72,Infinity
A1,2,72,72,Infinity
B2,3,28,72,Infinity
A1,2,72,72,Infinity
A3,3,44,72,Infinity
A1,2,72,72,Infinity
B3,3,64,72,Infinity
A1,2,72,72,Infinity
C3,3,47,72,Infinity
A1,2,72,72,Infinity
E3,3,19,72,Infinity
A1,2,72,72,Infinity
A4,3,36,72,Infinity
A1,2,72,72,Infinity
B4,3,28,72,Infinity
A1,2,72,72,Infinity
E4,3,18,72,Infinity
A1,2,72,72,Infinity
A5,3,41,72,Infinity
A1,2,72,72,Infinity
B5,3,46,72,Infinity
A1,2,72,72,Infinity
C5,3,59,72,Infinity
A1,2,72,72,Infinity
E5,3,26,72,Infinity
A1,2,72,72,Infinity
D5,1,72,64,72
B1,2,-Infinity,64,72
A1,3,40,64,72
B1,2,40,64,72
E1,3,50,64,72
B1,2,50,64,72
A2,3,40,64,72
B1,2,50,64,72
B2,3,64,64,72
B1,2,64,64,72
A3,3,48,64,72
B1,2,64,64,72
B3,3,68,64,72
B1,2,68,68,72
C3,3,51,68,72
B1,2,68,68,72
E3,3,23,68,72
B1,2,68,68,72
A4,3,40,68,72
B1,2,68,68,72
B4,3,32,68,72
B1,2,68,68,72
E4,3,22,68,72
B1,2,68,68,72
A5,3,45,68,72
B1,2,68,68,72
B5,3,50,68,72
B1,2,68,68,72
C5,3,63,68,72
B1,2,68,68,72
E5,3,30,68,72
B1,2,68,68,72
D5,1,68,64,68
E1,2,-Infinity,64,68
A1,3,26,64,68
E1,2,26,64,68
B1,3,22,64,68
E1,2,26,64,68
A2,3,26,64,68
E1,2,26,64,68
B2,3,18,64,68
E1,2,26,64,68
A3,3,34,64,68
E1,2,34,64,68
B3,3,54,64,68
E1,2,54,64,68
C3,3,37,64,68
E1,2,54,64,68
E3,3,9,64,68
E1,2,54,64,68
A4,3,26,64,68
E1,2,54,64,68
B4,3,18,64,68
E1,2,54,64,68
E4,3,8,64,68
E1,2,54,64,68
A5,3,31,64,68
E1,2,54,64,68
B5,3,36,64,68
E1,2,54,64,68
C5,3,49,64,68
E1,2,54,64,68
E5,3,16,64,68
E1,2,54,64,68
D5,1,54,64,68
root,0,64,64,Infinity
E5,1,Infinity,64,Infinity
A1,2,-Infinity,64,Infinity
B1,3,61,64,Infinity
A1,2,61,64,Infinity
E1,3,35,64,Infinity
A1,2,61,64,Infinity
A2,3,25,64,Infinity
A1,2,61,64,Infinity
B2,3,17,64,Infinity
A1,2,61,64,Infinity
A3,3,33,64,Infinity
A1,2,61,64,Infinity
B3,3,53,64,Infinity
A1,2,61,64,Infinity
C3,3,36,64,Infinity
A1,2,61,64,Infinity
E3,3,8,64,Infinity
A1,2,61,64,Infinity
A4,3,25,64,Infinity
A1,2,61,64,Infinity
B4,3,17,64,Infinity
A1,2,61,64,Infinity
E4,3,19,64,Infinity
A1,2,61,64,Infinity
A5,3,30,64,Infinity
A1,2,61,64,Infinity
B5,3,35,64,Infinity
A1,2,61,64,Infinity
C5,3,28,64,Infinity
A1,2,61,64,Infinity
D5,3,38,64,Infinity
A1,2,61,64,Infinity
E5,1,61,64,Infinity
root,0,64,64,Infinity